Age,MP,PER,TS%,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT%,ORB,DRB,AST,STL,BLK,PTS,Salary
28,385,5.9,0.486,34,83,0.41,7,37,0.189,0.45,0.765,8,40,9,7,5,88,4666500
36,128,12.8,0.622,14,23,0.609,0,1,0,0.61,0.625,9,21,12,2,2,33,2328652
22,2129,12.8,0.508,381,927,0.411,106,341,0.311,0.47,0.782,112,401,182,57,30,1040,2422560
27,2809,25.1,0.586,570,1252,0.455,91,248,0.367,0.49,0.865,129,341,417,143,32,1816,19301070
32,1700,10.9,0.496,221,514,0.43,46,144,0.319,0.48,0.781,33,184,191,67,22,538,2328652
21,1190,8.5,0.536,145,361,0.402,50,161,0.311,0.47,0.854,25,124,75,32,10,445,1386600
35,1843,12.8,0.542,273,626,0.436,106,258,0.411,0.52,0.818,33,209,144,36,18,715,10505000
28,643,9.9,0.523,77,165,0.467,15,43,0.349,0.51,0.586,27,85,37,23,3,186,2106470
25,2374,8,0.528,183,477,0.384,94,270,0.348,0.48,0.805,51,256,141,71,32,563,12236535
27,1639,12.7,0.549,233,538,0.433,97,273,0.355,0.52,0.825,27,198,102,65,31,629,4615385
26,361,9.6,0.485,54,120,0.45,6,20,0.3,0.48,0.615,4,48,59,5,3,122,4180000
20,1632,6.9,0.469,192,481,0.399,51,159,0.321,0.45,0.657,45,242,82,39,32,479,2550000
27,1330,16,0.645,161,259,0.622,0,0,,0.62,0.699,129,366,44,37,61,387,6000000
23,1334,12.7,0.581,134,302,0.444,38,101,0.376,0.51,0.792,27,137,185,44,23,432,1524305
19,1743,12.3,0.529,284,632,0.449,72,224,0.321,0.51,0.624,96,252,60,67,70,753,3073800
31,1998,10,0.514,247,557,0.443,43,135,0.319,0.48,0.727,19,185,236,79,27,630,2245400
22,1419,13,0.549,203,429,0.473,60,187,0.321,0.54,0.559,94,190,76,38,21,504,1794600
26,2029,15.5,0.601,338,703,0.481,137,322,0.425,0.58,0.85,25,153,188,79,7,898,3028410
29,1286,17.6,0.584,244,548,0.445,103,277,0.372,0.54,0.876,88,285,66,23,41,711,2116955
30,1534,10.5,0.505,220,558,0.394,53,193,0.275,0.44,0.863,39,175,81,37,13,638,2116955
21,1074,8.6,0.54,106,245,0.433,41,123,0.333,0.52,0.784,22,79,77,32,15,282,1312611
25,1140,12.3,0.502,209,525,0.398,45,139,0.324,0.44,0.857,25,93,130,27,5,595,13618750
23,1064,19.2,0.662,225,345,0.652,1,7,0.143,0.65,0.628,81,138,64,20,42,527,1471382
28,935,17.8,0.584,216,406,0.532,18,43,0.419,0.55,0.743,40,153,53,28,27,528,2116955
24,1442,15.8,0.567,190,361,0.526,10,36,0.278,0.54,0.738,120,249,96,82,40,449,1471382
28,1190,11,0.526,151,356,0.424,56,177,0.316,0.5,0.738,57,187,79,40,20,403,3949999
29,1776,13.7,0.592,281,647,0.434,169,409,0.413,0.57,0.903,30,199,48,46,25,815,7936509
